year,npc_name,total_crimes,crime_rate_per_1000
2018,CLEMENTI,40,0.27
2018,GEYLANG,106,0.71
2018,HOUGANG,67,0.45
2018,JURONG EAST,56,0.37
2018,JURONG WEST,62,0.41
2018,KAMPONG JAVA,33,0.22
2018,MARINA BAY,156,1.04
2018,MARINE PARADE,39,0.26
2018,NANYANG,79,0.53
2018,ORCHARD,185,1.23
2018,PASIR RIS,36,0.24
2018,PUNGGOL,33,0.22
2018,QUEENSTOWN,65,0.43
2018,ROCHOR,94,0.63
2018,SEMBAWANG,34,0.23
2018,SENGKANG,61,0.41
2018,SERANGOON,49,0.33
2018,TAMPINES,55,0.37
2018,TOA PAYOH,50,0.33
2018,UNKNOWN,0,0.0
2018,WOODLANDS,0,0.0
2018,WOODLANDS EAST,53,0.35
2018,WOODLANDS WEST,66,0.44
2018,WOODLEIGH,0,0.0
2018,YISHUN,0,0.0
2018,YISHUN NORTH,70,0.47
2018,YISHUN SOUTH,39,0.26
2019,ANG MO KIO NORTH,26,0.17
2019,ANG MO KIO SOUTH,40,0.27
2019,BEDOK,86,0.57
2019,BISHAN,22,0.15
2019,BUKIT BATOK,52,0.35
2019,BUKIT MERAH EAST,73,0.49
2019,BUKIT MERAH WEST,52,0.35
2019,BUKIT PANJANG,30,0.2
2019,BUKIT TIMAH,39,0.26
2019,CHANGI,22,0.15
2019,CHOA CHU KANG,71,0.47
2019,CLEMENTI,48,0.32
2019,GEYLANG,89,0.59
2019,HOUGANG,71,0.47
2019,JURONG EAST,62,0.41
2019,JURONG WEST,51,0.34
2019,KAMPONG JAVA,35,0.23
2019,MARINA BAY,147,0.98
2019,MARINE PARADE,36,0.24
2019,NANYANG,59,0.39
2019,ORCHARD,156,1.04
2019,PASIR RIS,32,0.21
2019,PUNGGOL,53,0.35
2019,QUEENSTOWN,69,0.46
2019,ROCHOR,84,0.56
2019,SEMBAWANG,27,0.18
2019,SENGKANG,67,0.45
2019,SERANGOON,27,0.18
2019,TAMPINES,56,0.37
2019,TOA PAYOH,69,0.46
2019,UNKNOWN,0,0.0
2019,WOODLANDS,0,0.0
2019,WOODLANDS EAST,56,0.37
2019,WOODLANDS WEST,53,0.35
2019,WOODLEIGH,0,0.0
2019,YISHUN,0,0.0
2019,YISHUN NORTH,64,0.43
2019,YISHUN SOUTH,18,0.12
2020,ANG MO KIO NORTH,35,0.23
2020,ANG MO KIO SOUTH,13,0.09
2020,BEDOK,64,0.43
2020,BISHAN,19,0.13
2020,BUKIT BATOK,46,0.31
2020,BUKIT MERAH EAST,60,0.4
2020,BUKIT MERAH WEST,54,0.36
2020,BUKIT PANJANG,36,0.24
2020,BUKIT TIMAH,29,0.19
2020,CHANGI,14,0.09
2020,CHOA CHU KANG,63,0.42
2020,CLEMENTI,43,0.29
2020,GEYLANG,76,0.51
2020,HOUGANG,51,0.34
2020,JURONG EAST,46,0.31
2020,JURONG WEST,46,0.31
2020,KAMPONG JAVA,39,0.26
2020,MARINA BAY,77,0.51
2020,MARINE PARADE,36,0.24
2020,NANYANG,57,0.38
2020,ORCHARD,62,0.41
2020,PASIR RIS,27,0.18
2020,PUNGGOL,43,0.29
2020,QUEENSTOWN,60,0.4
2020,ROCHOR,76,0.51
2020,SEMBAWANG,46,0.31
2020,SENGKANG,56,0.37
2020,SERANGOON,25,0.17
2020,TAMPINES,42,0.28
2020,TOA PAYOH,53,0.35
2020,UNKNOWN,9,0.06
2020,WOODLANDS,0,0.0
2020,WOODLANDS EAST,47,0.31
2020,WOODLANDS WEST,43,0.29
2020,WOODLEIGH,0,0.0
2020,YISHUN,0,0.0
2020,YISHUN NORTH,59,0.39
2020,YISHUN SOUTH,26,0.17
2021,ANG MO KIO NORTH,35,0.23
2021,ANG MO KIO SOUTH,30,0.2
2021,BEDOK,80,0.53
2021,BISHAN,37,0.25
2021,BUKIT BATOK,52,0.35
2021,BUKIT MERAH EAST,65,0.43
2021,BUKIT MERAH WEST,41,0.27
2021,BUKIT PANJANG,32,0.21
2021,BUKIT TIMAH,33,0.22
2021,CHANGI,32,0.21
2021,CHOA CHU KANG,61,0.41
2021,CLEMENTI,32,0.21
2021,GEYLANG,73,0.49
2021,HOUGANG,57,0.38
2021,JURONG EAST,45,0.3
2021,JURONG WEST,63,0.42
2021,KAMPONG JAVA,45,0.3
2021,MARINA BAY,90,0.6
2021,MARINE PARADE,32,0.21
2021,NANYANG,54,0.36
2021,ORCHARD,66,0.44
2021,PASIR RIS,33,0.22
2021,PUNGGOL,44,0.29
2021,QUEENSTOWN,71,0.47
2021,ROCHOR,72,0.48
2021,SEMBAWANG,35,0.23
2021,SENGKANG,83,0.55
2021,SERANGOON,38,0.25
2021,TAMPINES,56,0.37
2021,TOA PAYOH,49,0.33
2021,UNKNOWN,9,0.06
2021,WOODLANDS,0,0.0
2021,WOODLANDS EAST,45,0.3
2021,WOODLANDS WEST,38,0.25
2021,WOODLEIGH,0,0.0
2021,YISHUN,0,0.0
2021,YISHUN NORTH,42,0.28
2021,YISHUN SOUTH,26,0.17
2022,ANG MO KIO NORTH,34,0.23
2022,ANG MO KIO SOUTH,26,0.17
2022,BEDOK,91,0.61
2022,BISHAN,25,0.17
2022,BUKIT BATOK,42,0.28
2022,BUKIT MERAH EAST,76,0.51
2022,BUKIT MERAH WEST,43,0.29
2022,BUKIT PANJANG,28,0.19
2022,BUKIT TIMAH,31,0.21
2022,CHANGI,47,0.31
2022,CHOA CHU KANG,50,0.33
2022,CLEMENTI,31,0.21
2022,GEYLANG,90,0.6
2022,HOUGANG,68,0.45
2022,JURONG EAST,52,0.35
2022,JURONG WEST,57,0.38
2022,KAMPONG JAVA,31,0.21
2022,MARINA BAY,152,1.01
2022,MARINE PARADE,39,0.26
2022,NANYANG,66,0.44
2022,ORCHARD,137,0.91
2022,PASIR RIS,39,0.26
2022,PUNGGOL,51,0.34
2022,QUEENSTOWN,43,0.29
2022,ROCHOR,96,0.64
2022,SEMBAWANG,38,0.25
2022,SENGKANG,68,0.45
2022,SERANGOON,56,0.37
2022,TAMPINES,61,0.41
2022,TOA PAYOH,50,0.33
2022,UNKNOWN,10,0.07
2022,WOODLANDS,0,0.0
2022,WOODLANDS EAST,35,0.23
2022,WOODLANDS WEST,35,0.23
2022,WOODLEIGH,0,0.0
2022,YISHUN,0,0.0
