NAME,station_type,latitude,longitude,STN_NAME
SENGKANG LRT DEPOT,LRT,1.389362020651619,103.88453517688052,SENGKANG LRT DEPOT
RUMBIA LRT STATION,LRT,1.3915644449764613,103.90589048259643,RUMBIA
GARDENS BY THE BAY MRT STATION,MRT,1.2791345486762813,103.86791501999907,GARDENS BY THE BAY
TAI SENG MRT STATION,MRT,1.3354531033639623,103.88816447580918,TAI SENG
YISHUN MRT STATION,MRT,1.4295817514879388,103.83497216232473,YISHUN
LAKESIDE MRT STATION,MRT,1.3442631495697484,103.72096531649909,LAKESIDE
CHINESE GARDEN MRT STATION,MRT,1.3421449756432844,103.73281439469824,CHINESE GARDEN
PASIR RIS MRT STATION,MRT,1.3729518782222085,103.94925763871005,PASIR RIS
WOODLANDS NORTH MRT STATION,MRT,1.4483500982892412,103.78567472161538,WOODLANDS NORTH
GALI BATU DEPOT,MRT,1.3975850232217462,103.75609202249764,GALI BATU DEPOT
CITY HALL MRT STATION,MRT,1.2929332373080271,103.8526085043901,CITY HALL
BOON LAY MRT STATION,MRT,1.3386040235633818,103.70605907165447,BOON LAY
TAN KAH KEE MRT STATION,MRT,1.3258706042426365,103.8073308651868,TAN KAH KEE
TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,MRT,1.343266226482978,103.8930784608399,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING
MACPHERSON MRT STATION,MRT,1.3263680373758828,103.89026149672551,MACPHERSON
BOON KENG MRT STATION,MRT,1.3194470897134363,103.86168108539829,BOON KENG
SEGAR LRT STATION,LRT,1.3877564079180014,103.76965965330062,SEGAR
UPPER THOMSON MRT STATION,MRT,1.3544050509729382,103.83292375545018,UPPER THOMSON
SIXTH AVENUE MRT STATION,MRT,1.3307848577315728,103.79732046041522,SIXTH AVENUE
BRIGHT HILL MRT STATION,MRT,1.3632672644671089,103.83293672048511,BRIGHT HILL
ANG MO KIO MRT STATION,MRT,1.3699486591934034,103.8496163528243,ANG MO KIO
MARYMOUNT MRT STATION,MRT,1.348776656282285,103.83941284500592,MARYMOUNT
WOODLEIGH MRT STATION,MRT,1.3392070867482375,103.87080919000739,WOODLEIGH
CANBERRA MRT STATION,MRT,1.443118375010165,103.82971481738953,CANBERRA
SIMEI MRT STATION,MRT,1.3431974420302133,103.95337711674757,SIMEI
BENDEMEER MRT STATION,MRT,1.313644996150244,103.86289119741424,BENDEMEER
BISHAN MRT STATION,MRT,1.3508383847770202,103.84814352686071,BISHAN
COMMONWEALTH MRT STATION,MRT,1.3024476462799686,103.79829071892578,COMMONWEALTH
GEYLANG BAHRU MRT STATION,MRT,1.3215128864792325,103.87191146433439,GEYLANG BAHRU
CLARKE QUAY MRT STATION,MRT,1.2885422163244435,103.8466047937103,CLARKE QUAY
BEDOK RESERVOIR MRT STATION,MRT,1.3365987357963531,103.93228754664719,BEDOK RESERVOIR
BRAS BASAH MRT STATION,MRT,1.2968267735253725,103.8506555108639,BRAS BASAH
CHANGI AIRPORT MRT STATION,MRT,1.3573079309122364,103.98837058084158,CHANGI AIRPORT
CLEMENTI MRT STATION,MRT,1.3150782269966002,103.7652330284684,CLEMENTI
